id,which_topic,topic_id,topic,subfield_id,subfield,field,field_id,domain_id,domain
W2157861192,1,T11704,Mobile Crowdsensing and Crowdsourcing,1706,Computer Science Applications,Computer Science,17,3,Physical Sciences
W2157861192,2,T10326,Indoor and Outdoor Localization Technologies,2208,Electrical and Electronic Engineering,Engineering,22,3,Physical Sciences
W2157861192,3,T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2043092953,1,T13702,Machine Learning in Healthcare,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2043092953,2,T10350,Electronic Health Records Systems,3605,Health Information Management,Health Professions,36,4,Health Sciences
W2043092953,3,T11396,Artificial Intelligence in Healthcare,3605,Health Information Management,Health Professions,36,4,Health Sciences
W2137013440,1,T10307,Head and Neck Cancer Studies,2733,Otorhinolaryngology,Medicine,27,4,Health Sciences
W2137013440,2,T11035,Salivary Gland Tumors Diagnosis and Treatment,2746,Surgery,Medicine,27,4,Health Sciences
W2137013440,3,T10862,AI in cancer detection,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2172058373,1,T12422,Radiomics and Machine Learning in Medical Imaging,2741,"Radiology, Nuclear Medicine and Imaging",Medicine,27,4,Health Sciences
W2172058373,2,T11287,Cancer Genomics and Diagnostics,1306,Cancer Research,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2172058373,3,T10862,AI in cancer detection,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2139776930,1,T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2139776930,2,T11704,Mobile Crowdsensing and Crowdsourcing,1706,Computer Science Applications,Computer Science,17,3,Physical Sciences
W2139776930,3,T10243,Statistical Methods and Bayesian Inference,2613,Statistics and Probability,Mathematics,26,3,Physical Sciences
W2081314885,1,T10320,Neural Networks and Applications,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2081314885,2,T11665,Animal Vocal Communication and Behavior,1309,Developmental Biology,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2081314885,3,T14394,Cognitive Science and Education Research,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2051659622,1,T10737,Health Literacy and Information Accessibility,3600,General Health Professions,Health Professions,36,4,Health Sciences
W2051659622,2,T13117,Health Education and Validation,3304,Education,Social Sciences,33,2,Social Sciences
W2051659622,3,T13629,Text Readability and Simplification,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2200949486,1,T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2200949486,2,T10237,Cryptography and Data Security,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2200949486,3,T11720,Probability and Risk Models,1803,Management Science and Operations Research,Decision Sciences,18,2,Social Sciences
W2075783041,1,T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
