id,which_topic,topic_id,topic,subfield_id,subfield,field,field_id,domain_id,domain
W1887237053,1,T11810,Complex Systems and Decision Making,1803,Management Science and Operations Research,Decision Sciences,18,2,Social Sciences
W1887237053,2,T12805,Cognitive Science and Mapping,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W1887237053,3,T11891,Big Data and Business Intelligence,1404,Management Information Systems,"Business, Management and Accounting",14,2,Social Sciences
W2220638545,1,T10533,Teaching and Learning Programming,1706,Computer Science Applications,Computer Science,17,3,Physical Sciences
W2220638545,2,T12002,"Computability, Logic, AI Algorithms",1703,Computational Theory and Mathematics,Computer Science,17,3,Physical Sciences
W2220638545,3,T11975,Evolutionary Algorithms and Applications,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2159133636,1,T13274,Expert finding and Q&A systems,1710,Information Systems,Computer Science,17,3,Physical Sciences
W2159133636,2,T11704,Mobile Crowdsensing and Crowdsourcing,1706,Computer Science Applications,Computer Science,17,3,Physical Sciences
W2159133636,3,T10028,Topic Modeling,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2152472932,1,T10862,AI in cancer detection,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2152472932,2,T12027,Social Media in Health Education,3306,Health,Social Sciences,33,2,Social Sciences
W2152472932,3,T13314,Lymphadenopathy Diagnosis and Analysis,2746,Surgery,Medicine,27,4,Health Sciences
W2082436634,1,T10317,Advanced Database Systems and Queries,1705,Computer Networks and Communications,Computer Science,17,3,Physical Sciences
W2082436634,2,T10215,Semantic Web and Ontologies,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2082436634,3,T12016,Web Data Mining and Analysis,1710,Information Systems,Computer Science,17,3,Physical Sciences
W2012466471,1,T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2012466471,2,T11719,Data Quality and Management,1803,Management Science and Operations Research,Decision Sciences,18,2,Social Sciences
W2012466471,3,T10237,Cryptography and Data Security,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2006150671,1,T13274,Expert finding and Q&A systems,1710,Information Systems,Computer Science,17,3,Physical Sciences
W2006150671,2,T10028,Topic Modeling,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2006150671,3,T11704,Mobile Crowdsensing and Crowdsourcing,1706,Computer Science Applications,Computer Science,17,3,Physical Sciences
W2021679990,1,T10581,Neural dynamics and brain function,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2021679990,2,T10429,EEG and Brain-Computer Interfaces,2805,Cognitive Neuroscience,Neuroscience,28,1,Life Sciences
W2021679990,3,T10320,Neural Networks and Applications,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W1988401845,1,T11894,Radiology practices and education,2741,"Radiology, Nuclear Medicine and Imaging",Medicine,27,4,Health Sciences
W1988401845,2,T13643,Artificial Intelligence in Law,3320,Political Science and International Relations,Social Sciences,33,2,Social Sciences
W1988401845,3,T10181,Natural Language Processing Techniques,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2024208282,1,T11361,Digital Radiography and Breast Imaging,2740,Pulmonary and Respiratory Medicine,Medicine,27,4,Health Sciences
W2024208282,2,T10862,AI in cancer detection,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2024208282,3,T10522,Medical Imaging Techniques and Applications,2741,"Radiology, Nuclear Medicine and Imaging",Medicine,27,4,Health Sciences
W2110184011,1,T10320,Neural Networks and Applications,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2110184011,2,T10423,Neurobiology and Insect Physiology Research,2804,Cellular and Molecular Neuroscience,Neuroscience,28,1,Life Sciences
W2110184011,3,T11975,Evolutionary Algorithms and Applications,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2101061221,1,T12549,Image and Object Detection Techniques,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2101061221,2,T10862,AI in cancer detection,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2101061221,3,T10052,Medical Image Segmentation Techniques,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W1989487093,1,T10136,Statistical Methods and Inference,2613,Statistics and Probability,Mathematics,26,3,Physical Sciences
W1989487093,2,T11901,Bayesian Methods and Mixture Models,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W1989487093,3,T10968,Statistical Distribution Estimation and Applications,2613,Statistics and Probability,Mathematics,26,3,Physical Sciences
W2021641767,1,T10764,Privacy-Preserving Technologies in Data,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2021641767,2,T10237,Cryptography and Data Security,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2021641767,3,T11045,"Privacy, Security, and Data Protection",3312,Sociology and Political Science,Social Sciences,33,2,Social Sciences
W2114579462,1,T12478,Wikis in Education and Collaboration,3315,Communication,Social Sciences,33,2,Social Sciences
W2114579462,2,T10181,Natural Language Processing Techniques,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2114579462,3,T10028,Topic Modeling,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2143499948,1,T10215,Semantic Web and Ontologies,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2143499948,2,T11710,Biomedical Text Mining and Ontologies,1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",13,1,Life Sciences
W2143499948,3,T12016,Web Data Mining and Analysis,1710,Information Systems,Computer Science,17,3,Physical Sciences
W2147650443,1,T10862,AI in cancer detection,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2147650443,2,T10036,Advanced Neural Network Applications,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2147650443,3,T10775,Generative Adversarial Networks and Image Synthesis,1707,Computer Vision and Pattern Recognition,Computer Science,17,3,Physical Sciences
W2131618209,1,T12072,Machine Learning and Algorithms,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
W2131618209,2,T12101,Advanced Bandit Algorithms Research,1803,Management Science and Operations Research,Decision Sciences,18,2,Social Sciences
W2131618209,3,T12422,Radiomics and Machine Learning in Medical Imaging,2741,"Radiology, Nuclear Medicine and Imaging",Medicine,27,4,Health Sciences
W2139275469,1,T11598,Internet Traffic Analysis and Secure E-voting,1702,Artificial Intelligence,Computer Science,17,3,Physical Sciences
