id,abstract_len,doi,jrnl,title,pub_date,retracted,cite_count,pub_type,pub_type_crossref,pmid,which_athr,athr_id,athr_pos,raw_affl,athr_name,inst,inst_id,which_affl
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,1,A5025867816,first,,Francisco Sánchez-Vega,,I4210150208,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,1,A5025867816,first,,Francisco Sánchez-Vega,,I1334819555,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,2,A5020212006,middle,,Marco Mina,,I97565354,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,2,A5020212006,middle,,Marco Mina,,I12708293,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,3,A5021762206,middle,,Joshua Armenia,,I1334819555,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,3,A5021762206,middle,,Joshua Armenia,,I4210150208,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,4,A5021327150,middle,,Walid K. Chatila,,I1334819555,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,4,A5021327150,middle,,Walid K. Chatila,,I4210150208,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,5,A5026945351,middle,,Augustin Luna,,I4210117453,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,5,A5026945351,middle,,Augustin Luna,,I136199984,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,6,A5060979215,middle,,Konnor La,,I1334819555,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,6,A5060979215,middle,,Konnor La,,I4210150208,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,7,A5014068243,middle,,Sofia Dimitriadoy,,I20089843,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,8,A5015910816,middle,,David L. Liu,,I107606265,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,8,A5015910816,middle,,David L. Liu,,I4210117453,2
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,9,A5080042973,middle,,Havish S. Kantheti,,I162577319,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,10,A5063017713,middle,,Sadegh Saghafinia,,I12708293,1
W2796153225,124,https://doi.org/10.1016/j.cell.2018.03.035,Cell,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018-04-01,FALSE,2614,article,journal-article,29625050,10,A5063017713,middle,,Sadegh Saghafinia,,I97565354,2
