id,abstract_len,doi,jrnl,title,pub_date,retracted,cite_count,pub_type,pub_type_crossref,pmid,which_athr,athr_id,athr_pos,raw_affl,athr_name,inst,inst_id,which_affl
W2094963548,64,https://doi.org/10.1126/science.1060928,Science,Carbon Nanotubes--the Route Toward Applications,2002-08-02,FALSE,10047,article,journal-article,12161643,1,A5007837550,first,,Ray H. Baughman,,,1
W2094963548,64,https://doi.org/10.1126/science.1060928,Science,Carbon Nanotubes--the Route Toward Applications,2002-08-02,FALSE,10047,article,journal-article,12161643,2,A5035093707,middle,,Anvar Zakhidov,,I162577319,1
W2094963548,64,https://doi.org/10.1126/science.1060928,Science,Carbon Nanotubes--the Route Toward Applications,2002-08-02,FALSE,10047,article,journal-article,12161643,3,A5035833074,last,,Walt A. de Heer,,I130701444,1
W3207805732,124,https://doi.org/10.1029/2001rg000108,Reviews of Geophysics,SUBDUCTION ZONES,2002-12-01,FALSE,1224,article,journal-article,,1,A5035240990,first,,Robert J. Stern,,I162577319,1
W2012987308,139,https://doi.org/10.1109/infcom.2000.832171,,Max-min d-cluster formation in wireless ad hoc networks,2002-11-07,FALSE,995,article,proceedings-article,,1,A5077207660,first,,A.D. Amis,,,1
W2012987308,139,https://doi.org/10.1109/infcom.2000.832171,,Max-min d-cluster formation in wireless ad hoc networks,2002-11-07,FALSE,995,article,proceedings-article,,2,A5091471408,middle,,Ravi Prakash,,I162577319,1
W2012987308,139,https://doi.org/10.1109/infcom.2000.832171,,Max-min d-cluster formation in wireless ad hoc networks,2002-11-07,FALSE,995,article,proceedings-article,,3,A5113985025,middle,,T.H.P. Vuong,,,1
W2012987308,139,https://doi.org/10.1109/infcom.2000.832171,,Max-min d-cluster formation in wireless ad hoc networks,2002-11-07,FALSE,995,article,proceedings-article,,4,A5109426081,last,,D.T. Huynh,,I162577319,1
W2026324572,0,https://doi.org/10.1016/s0899-5362(02)00013-1,Journal of African Earth Sciences,The Saharan Metacraton,2002-04-01,FALSE,626,article,journal-article,,1,A5060678984,first,,Mohamed G. Abdelsalam,,I162577319,1
W2026324572,0,https://doi.org/10.1016/s0899-5362(02)00013-1,Journal of African Earth Sciences,The Saharan Metacraton,2002-04-01,FALSE,626,article,journal-article,,2,A5049639227,middle,,Jean-Paul Liégeois,,I1288652306,1
W2026324572,0,https://doi.org/10.1016/s0899-5362(02)00013-1,Journal of African Earth Sciences,The Saharan Metacraton,2002-04-01,FALSE,626,article,journal-article,,3,A5035240990,last,,Robert J. Stern,,I162577319,1
W2051057783,65,https://doi.org/10.1109/icassp.2002.5745591,IEEE International Conference on Acoustics Speech and Signal Processing,A multi-band spectral subtraction method for enhancing speech corrupted by colored noise,2002-05-01,FALSE,540,article,proceedings-article,,1,A5111755457,first,,S.D. Kamath,,I162577319,1
W2051057783,65,https://doi.org/10.1109/icassp.2002.5745591,IEEE International Conference on Acoustics Speech and Signal Processing,A multi-band spectral subtraction method for enhancing speech corrupted by colored noise,2002-05-01,FALSE,540,article,proceedings-article,,2,A5108505492,last,,Philipos C. Loizou,,I162577319,1
W2127039475,0,https://doi.org/10.1016/s0899-5362(02)00012-x,Journal of African Earth Sciences,Crustal evolution in the East African Orogen: a neodymium isotopic perspective,2002-04-01,FALSE,501,article,journal-article,,1,A5035240990,first,,Robert J. Stern,,I162577319,1
W2119985366,85,https://doi.org/10.1109/82.996055,IEEE Transactions on Circuits and Systems II Analog and Digital Signal Processing,Design and analysis of low-power 10-transistor full adders using novel XOR-XNOR gates,2002-01-01,FALSE,316,article,journal-article,,1,A5103809017,first,,Hung Tien Bui,,I162577319,1
W2119985366,85,https://doi.org/10.1109/82.996055,IEEE Transactions on Circuits and Systems II Analog and Digital Signal Processing,Design and analysis of low-power 10-transistor full adders using novel XOR-XNOR gates,2002-01-01,FALSE,316,article,journal-article,,2,A5027976243,middle,,Yuke Wang,,I162577319,1
W2119985366,85,https://doi.org/10.1109/82.996055,IEEE Transactions on Circuits and Systems II Analog and Digital Signal Processing,Design and analysis of low-power 10-transistor full adders using novel XOR-XNOR gates,2002-01-01,FALSE,316,article,journal-article,,3,A5069124655,last,,Yingtao Jiang,,I162577319,1
