id,which_mesh,term,is_major_topic,qualifier_name
W2516718464,1,"Image Processing, Computer-Assisted",TRUE,
W2516718464,2,Magnetic Resonance Imaging,TRUE,
W2516718464,3,Neural Pathways,TRUE,physiology
W2516718464,4,Rest,TRUE,physiology
W2516718464,5,Adult,FALSE,
W2516718464,6,Brain,FALSE,
W2516718464,7,Brain,FALSE,physiology
W2516718464,8,Brain Mapping,FALSE,
W2516718464,9,Brain Mapping,FALSE,methods
W2516718464,10,Cerebrovascular Circulation,FALSE,
W2516718464,11,Cerebrovascular Circulation,FALSE,physiology
W2516718464,12,Female,FALSE,
W2516718464,13,Humans,FALSE,
W2516718464,14,Magnetic Resonance Imaging,FALSE,methods
W2516718464,15,Male,FALSE,
W2516718464,16,Neural Pathways,FALSE,
W2516718464,17,Oxygen,FALSE,metabolism
W2516718464,18,Oxygen,FALSE,
W2516718464,19,Rest,FALSE,
W2516718464,20,Young Adult,FALSE,
W2403473377,1,Cell Movement,TRUE,
W2403473377,2,Glycolysis,TRUE,
W2403473377,3,"Hypoxia-Inducible Factor 1, alpha Subunit",TRUE,metabolism
W2403473377,4,Macrophages,TRUE,metabolism
W2403473377,5,Protein Serine-Threonine Kinases,TRUE,metabolism
W2403473377,6,Animals,FALSE,
W2403473377,7,"Cell Line, Tumor",FALSE,
W2403473377,8,Dichloroacetic Acid,FALSE,
W2403473377,9,Electron Transport Complex IV,FALSE,
W2403473377,10,Electron Transport Complex IV,FALSE,metabolism
W2403473377,11,Glucose,FALSE,
W2403473377,12,Glucose,FALSE,metabolism
W2403473377,13,Hypoxia,FALSE,
W2403473377,14,Hypoxia,FALSE,metabolism
W2403473377,15,"Hypoxia-Inducible Factor 1, alpha Subunit",FALSE,
W2403473377,16,Macrophages,FALSE,
W2403473377,17,"Mice, Inbred C57BL",FALSE,
W2403473377,18,Primary Cell Culture,FALSE,
W2403473377,19,Protein Serine-Threonine Kinases,FALSE,
W2403473377,20,Pyruvate Dehydrogenase Acetyl-Transferring Kinase,FALSE,
W2309234657,1,Selenium Compounds,TRUE,chemistry
W2309234657,2,Sulfides,TRUE,chemistry
W2309234657,3,Kinetics,FALSE,
W2309234657,4,Selenium Compounds,FALSE,
W2309234657,5,Sulfides,FALSE,
W2564149303,1,Locus Coeruleus,TRUE,cytology
W2564149303,2,Neurons,TRUE,physiology
W2564149303,3,Vagus Nerve,TRUE,physiology
W2564149303,4,Action Potentials,FALSE,physiology
W2564149303,5,Action Potentials,FALSE,
W2564149303,6,Afferent Pathways,FALSE,physiology
W2564149303,7,Afferent Pathways,FALSE,
W2564149303,8,Analysis of Variance,FALSE,
W2564149303,9,Animals,FALSE,
W2564149303,10,Biophysics,FALSE,
W2564149303,11,Female,FALSE,
W2564149303,12,Locus Coeruleus,FALSE,
W2564149303,13,Neurons,FALSE,
W2564149303,14,Rats,FALSE,
W2564149303,15,"Rats, Sprague-Dawley",FALSE,
W2564149303,16,Vagus Nerve,FALSE,
W2564149303,17,Vagus Nerve Stimulation,FALSE,
W2422728319,1,Brain,TRUE,physiology
W2422728319,2,Empathy,TRUE,
W2422728319,3,Pain Perception,TRUE,
W2422728319,4,Adult,FALSE,
W2422728319,5,Brain,FALSE,
W2422728319,6,Female,FALSE,
W2422728319,7,Functional Neuroimaging,FALSE,
W2422728319,8,Humans,FALSE,
W2422728319,9,Male,FALSE,
W2422728319,10,Young Adult,FALSE,
W2516046201,1,Electromyography,TRUE,methods
W2516046201,2,"Pattern Recognition, Automated",TRUE,methods
W2516046201,3,Sign Language,TRUE,
W2516046201,4,"Signal Processing, Computer-Assisted",TRUE,instrumentation
W2516046201,5,Speech Recognition Software,TRUE,
W2516046201,6,Arm,FALSE,physiology
W2516046201,7,Arm,FALSE,
W2516046201,8,Communication Aids for Disabled,FALSE,
W2516046201,9,Electromyography,FALSE,
W2516046201,10,Electronics,FALSE,
W2516046201,11,Equipment Design,FALSE,
W2516046201,12,Female,FALSE,
W2516046201,13,Humans,FALSE,
W2516046201,14,Male,FALSE,
W2516046201,15,"Muscle, Skeletal",FALSE,physiology
